artist,track,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
The Pom-Poms,I Got That Boom,1lNwBlwE9MH3FtKN0FkiH7,0.762,0.773,0,-7.018,1,0.0536,0.000804,6.76e-05,0.0716,0.372,126.05,172381,4,jojo
ROSALÍA,MALAMENTE - Cap.1: Augurio,1B0BQaSRHxhI0AUlItY3LK,0.893,0.482,0,-4.779,0,0.0873,0.549,0.0164,0.0752,0.53,97.975,150027,4,jojo
Rico Nasty,Countin' Up,6UFG7GbMAeeMijEyrp6f1D,0.891,0.851,1,-4.804,1,0.203,0.0207,0.0,0.0224,0.757,95.987,150000,4,jojo
Rico Nasty,Roof,1uX18gfpzbP8iLaOjy6p3V,0.807,0.861,10,-3.164,0,0.421,0.0469,0.0,0.344,0.715,175.983,155455,4,jojo
Chloe x Halle,Galaxy,7d56WYqFkqL7y9V7PnMj7W,0.708,0.7,4,-5.921,0,0.0412,0.0956,0.000413,0.0539,0.51,154.993,189173,4,jojo
Kanye West,Two Words,62wtttQzoIA9HnNmGVd9Yq,0.442,0.807,6,-4.753,1,0.265,0.0158,6.43e-06,0.217,0.446,84.649,266213,4,jojo
Lil Jon,Drink - Dirty,41QtT8n6Sfu1wFEUKLya8L,0.792,0.975,7,-3.917,1,0.199,0.135,0.0,0.509,0.662,126.007,264000,4,jojo
Anderson .Paak,Jet Black (feat. Brandy),70pZIQqQ37SrNCADx0FiPN,0.819,0.596,7,-7.697,0,0.123,0.0302,4.59e-06,0.102,0.473,108.204,208395,4,jojo
Alice Longyu Gao,I <3 Harajuku,1fMIomiIqQUSLynNzU4y1w,0.81,0.812,1,-6.155,1,0.073,0.017,0.0396,0.15,0.435,146.986,146939,4,jojo
DeJ Loaf,No Fear,2H881m3JRA8lpuuwaQL6zy,0.614,0.682,11,-4.117,0,0.102,0.387,0.0,0.134,0.566,100.202,169853,4,jojo
Ashnikko,Thrust,1VBMwGHIe0dsPU5Rn2ELU3,0.86,0.657,2,-5.839,1,0.333,0.0283,0.0,0.0858,0.517,82.921,169765,4,jojo
Grimes,We Appreciate Power,5b0DJPEs6UUlDmpZuoDD2X,0.534,0.899,2,-4.18,0,0.0509,0.00898,4.32e-05,0.4,0.432,108.033,334688,4,jojo
Ashnikko,Halloweenie II: Pumpkin Spice,0RcwpbPBHFj18vIs5yGdxg,0.762,0.522,2,-7.594,1,0.057,0.0548,1.38e-05,0.247,0.475,74.997,137530,1,jojo
Kero Kero Bonito,Pocket Crocodile,4hglQSLy3PHgu2e1kQ5qxe,0.673,0.721,5,-5.503,1,0.0696,0.0128,0.0013,0.095,0.163,108.045,115556,4,jojo
HARU NEMURI,narashite,7IIRN7KZksXp9ieBFmNuHI,0.386,0.972,8,-3.333,1,0.23,0.00426,0.00094,0.164,0.485,192.102,199320,4,jojo
