,artist,track,uri,nick_history,jojo_history,rich_history
222,Smino,L.M.F.,spotify:track:2KmYPKHvwG77NAcDpFlLBm,,True,
223,Machine Girl,Kill Screen,spotify:track:1TT5R4Aq3g1xuwob3FWhWT,,True,
224,Chloe x Halle,Happy Without Me (feat. Joey Bada$$),spotify:track:1mQI744KrltnCU798zIGEe,,True,
225,Lykke Li,sex money feelings die,spotify:track:0g4fzRkbLeCDUCoe5iUOcf,True,True,
226,Voxtrot,The Start Of Something,spotify:track:6K5GAopLZzzg0ZX8k5GWwh,,True,
227,Carly Rae Jepsen,Real Love,spotify:track:70SnF1RJLB3blEDBWjrig3,,True,
228,Guerilla Toss,Can I Get the Real Stuff,spotify:track:45Ggd1QivaMGZRIuFWBGCz,,,
229,Metaroom,TRASH CLAN,spotify:track:1Y7ovi4HD3yNzApYSm3coP,,True,
230,Kanye West,I'm In It,spotify:track:52NmkyHsGsHGb1UX8fTkMg,,True,
231,LunchMoney Lewis,Make That Cake (feat. Doja Cat),spotify:track:3H46DLWgIFfEoP4mOXEIzq,,True,
232,Rico Nasty,Big Titties (feat. Baauer and EarthGang),spotify:track:77lHSh6eoMiKWRxczAPQ1k,,True,
233,Glass Animals,Mama's Gun,spotify:track:5BGNCHo7771J5WcAWRO3jP,,True,
234,Coco & Clair Clair,Pretty,spotify:track:3L545updZMVxAsaYV6K8Z9,,True,
235,Kanye West,New Slaves,spotify:track:4cAgkb0ifwn0FSHGXnr4F6,,True,True
236,Lorde,Supercut,spotify:track:6IIcLzR05sN1gk4ngzz7Kk,,True,
237,Rina Sawayama,XS,spotify:track:1TWNKyNQOBfNUkWWs7FooF,,True,
238,Clairo,Amoeba,spotify:track:0HAqq2GcQKyi3s87GuN7jU,,True,
239,Big Thief,Real Love,spotify:track:6lU6rPNgmEhilIurtFmkFm,,True,
240,Childish Gambino,This Is America,spotify:track:0b9oOr2ZgvyQu88wzixux9,True,,
241,10cc,I'm Not In Love,spotify:track:5HQEmiV2lKnSO6qa2fsR7x,,True,
242,Car Seat Headrest,Beast Monster Thing (Love Isn't Love Enough),spotify:track:6n3Axk0f9yRo3v6PNolCbk,,True,
243,"Tyler, The Creator",Her,spotify:track:0XDfOOlscDrr50Q0PERrVd,True,True,
244,Rico Nasty,Big Dick Energy,spotify:track:7GFRxsRFuaSgPBxvYnrYDL,,True,
245,City Girls,Where The Bag At,spotify:track:7GlZhPkCA259c3ICFU0eaG,,True,
246,"Tyler, The Creator",EARFQUAKE,spotify:track:5hVghJ4KaYES3BFUATCYn0,True,True,True
247,Remi Wolf,Photo ID (with Dominic Fike),spotify:track:1F35Dmog9pekyCVnH1eQpl,,True,
248,Kero Kero Bonito,Well Rested,spotify:track:2as0SjHe6BVgirrR7GMqzY,,True,
249,Paramore,Misery Business,spotify:track:6SpLc7EXZIPpy0sVko0aoU,True,True,
250,Mitski,"Goodbye, My Danish Sweetheart",spotify:track:3iDMNG7MD7uCPMxBOa66ZI,,True,
251,LOONA,Heart Attack (츄),spotify:track:6SSC9KZQaxBdyipKRigrFC,,,
252,Sega Bodega,CC (feat. Shygirl),spotify:track:2bVMo5478evu0jBKb1oTq7,,True,
253,Kanye West,See You In My Nightmares,spotify:track:5zuoz1NBnpoHK6g5sbEH8F,,True,True
254,Otoboke Beaver,PARDON?,spotify:track:1OiEyOhzqSVy88ZO6Gzqxf,,,
255,Machine Girl,Excruciating Deth,spotify:track:7ehfk8KcDERZy94rqKDRZb,,True,
256,Tommy Genesis,Miami,spotify:track:4fkRiuq5jzUS74o573v00n,,True,True
257,Kanye West,Lost In The World,spotify:track:2Im64pIz6m0EJKdUe6eZ8r,,True,True
258,Tommy Genesis,Bad Boy,spotify:track:4gzHDL7oTy9XbztZQr5IM7,,True,True
259,U.S. Girls,L-Over,spotify:track:3nVZbbmFgFHk0VTnwWA3nG,,True,
260,Kanye West,POWER,spotify:track:2gZUPNdnz5Y45eiGxpHGSc,,True,True
261,Indigo De Souza,Sleep Talking,spotify:track:02YWpfMAUVTvsbhu3QO9fM,,True,
262,Anamanaguchi,My Skateboard Will Go On,spotify:track:3VAu7hzDbqJquXa0vHjwbJ,,True,
263,Kanye West,Never Let Me Down,spotify:track:34j4OxJxKznBs88cjSL2j9,,,
264,Car Seat Headrest,There Must Be More Than Blood,spotify:track:4aLVleE09ZRl720qy9yHIp,,True,
265,Death Grips,Death Grips Is Online,spotify:track:4EHv5m2D0zDYYAu4xZoYwm,,True,
266,Flo Milli,Not Friendly,spotify:track:2le8xbpMJ1aA0SpJZRMbRw,,True,
267,My Chemical Romance,To the End,spotify:track:1GErReAT0swX36x3O8GyQn,,True,
268,The Buttress,Nothing Wrong with Me,spotify:track:7gOw0OUDsfqjTULYZsQtMc,,True,
269,Dayglow,Can I Call You Tonight?,spotify:track:64lsIF5pw0sJY0gV5kz0RN,,True,
270,Danny Brown,Combat,spotify:track:3ZbTIbNjbLZtIxk39IRrBQ,,,
271,Otoboke Beaver,S'il vous plait,spotify:track:6NeSiZokIiQwJaqAID41Vy,,True,
272,Vince Staples,Feels Like Summer,spotify:track:5zEeiQbazUWskpZNhnh6i2,,True,True
273,Candy Claws,Pangaea Girls (Magic Feeling),spotify:track:49DmTlbizOa1VTQRqVAuWJ,,,
274,Kesha,Dinosaur,spotify:track:6e3fQ1fC1MX7kfbpyc13Pw,,True,
