,artist,track,uri,nick_history,jojo_history,rich_history,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
421,"Tyler, The Creator",THE BROWN STAINS OF DARKEESE LATIFAH PART 6-12 (REMIX) (feat. ScHoolboy Q),629TRAVD61y1ZVNl9EOfEE,,True,,0.63,0.842,1,-5.636,0,0.316,0.000967,0,0.362,0.634,84.952,audio_features,629TRAVD61y1ZVNl9EOfEE,191869,4
422,Mitski,Should've Been Me,5FQ9NDyx3KZXhovWWq4Gxo,,True,,0.51,0.63,2,-6.997,0,0.0258,0.00615,0.000485,0.147,0.569,89.812,audio_features,5FQ9NDyx3KZXhovWWq4Gxo,191775,4
423,S3RL,Mtc,56nLHj9HJr3xpbLarnr0l4,,True,,0.485,0.979,2,-0.943,1,0.116,0.00792,0.00171,0.387,0.432,175.074,audio_features,56nLHj9HJr3xpbLarnr0l4,260530,4
424,Boys Noize,Girl Crush,7knYJi6aP5sCLPPSGmfLqJ,,True,,0.651,0.967,7,-5.38,1,0.109,0.114,0.0163,0.131,0.292,93.175,audio_features,7knYJi6aP5sCLPPSGmfLqJ,228006,4
425,Black Eyed Peas,Pump It,6btyEL6NwUa97Nex9cZFvo,,True,,0.649,0.931,1,-3.15,0,0.181,0.0093,0,0.751,0.744,153.645,audio_features,6btyEL6NwUa97Nex9cZFvo,213067,4
426,Vince Staples,Love Can Be...,6q0wu4qjc9XVyqqRv7vlMZ,,True,,0.692,0.634,7,-6.741,1,0.0996,0.0165,0.000644,0.459,0.338,123.946,audio_features,6q0wu4qjc9XVyqqRv7vlMZ,178827,4
427,Death Grips,Hustle Bones,5PXyH5bb5fbVfO8LjByhBb,,True,,0.6,0.982,4,-2.996,0,0.201,0.104,0,0.343,0.277,110.015,audio_features,5PXyH5bb5fbVfO8LjByhBb,192360,4
428,Denzel Curry,SHAKE 88 FEAT. SAM SNEAK,27F7BWz4WuC8GuSIcFbx1a,,True,,0.657,0.836,2,-6.364,1,0.0831,0.0277,0,0.29,0.445,181.94,audio_features,27F7BWz4WuC8GuSIcFbx1a,147720,4
429,Coco & Clair Clair,Pretty - Shacob Remix,4YpdiZChdldyfMwr5al42j,,True,,0.714,0.789,6,-6.461,1,0.083,0.888,0.244,0.228,0.697,119.987,audio_features,4YpdiZChdldyfMwr5al42j,235031,4
430,LOOΠΔ / ODD EYE CIRCLE,LOONATIC,2FwFu6y1aXPWXWcD9RxA6v,,True,,0.488,0.886,5,-3.803,1,0.097,0.00191,2.59e-05,0.101,0.762,150.027,audio_features,2FwFu6y1aXPWXWcD9RxA6v,180576,4
431,Car Seat Headrest,Unforgiving Girl (She's Not An),1bNFcAne3QoFy6Yf5wddf9,,True,,0.392,0.593,0,-7.193,1,0.0507,0.0627,8.88e-05,0.76,0.678,164.899,audio_features,1bNFcAne3QoFy6Yf5wddf9,326428,4
432,Otoboke Beaver,Oniisan Anone - Remastered 2018,77dN2K1OFsqmklJ2wZsKMG,,True,,0.344,0.924,9,-2.43,0,0.171,0.0364,0.0564,0.0744,0.664,140.285,audio_features,77dN2K1OFsqmklJ2wZsKMG,240262,4
433,NLE Choppa,Speed It Up (feat. Rico Nasty),6GJNHAkwOF8O5G6HVAuB4v,,True,,0.878,0.841,10,-3.572,1,0.0452,0.371,0,0.0842,0.746,95.019,audio_features,6GJNHAkwOF8O5G6HVAuB4v,143278,4
434,MIA GLADSTONE,Love U,3P51FjZ2FPoQZ40TcNkqO7,,True,,0.762,0.491,2,-9.829,0,0.053,0.328,0.0121,0.0928,0.813,109.994,audio_features,3P51FjZ2FPoQZ40TcNkqO7,205091,4
435,Kesha,"Sleazy REMIX 2.0 Get Sleazier (feat. Lil' Wayne, Wiz Khalifa, T.I. & André 3000)",1zPDgF3K6QXcTopDB3SVg9,,True,,0.698,0.791,6,-5.655,0,0.233,0.0172,1.19e-05,0.0805,0.912,170.034,audio_features,1zPDgF3K6QXcTopDB3SVg9,293053,4
436,Latto,B*tch From Da Souf,6tLWt7gkvvTSjS6OfJjiyJ,,True,,0.862,0.235,1,-15.545,1,0.699,0.0241,0,0.123,0.398,150.062,audio_features,6tLWt7gkvvTSjS6OfJjiyJ,144048,4
437,Pretty Boy Aaron,Comb My Hair,5XaBTK8VUAabcjBb8aPDfv,,True,,0.705,0.426,2,-9.819,1,0.0315,0.0434,0.0011,0.32,0.535,99.999,audio_features,5XaBTK8VUAabcjBb8aPDfv,215400,4
438,ROSALÍA,Con Altura,2qG5sZ7Si6sdK74qLxedYM,,True,,0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,audio_features,2qG5sZ7Si6sdK74qLxedYM,161627,4
